"Ma","CO2"
1.7054,224.26
1.7062,226.58
1.7072,226
1.7086,226.11
1.7098,230.12
1.7111,232.26
1.7125,233.93
1.7139,237.81
1.7149,237.19
1.7163,235.63
1.7174,227.29
1.7184,226.01
1.7197,227.29
1.7209,229.28
1.7219,227.29
1.7231,231.3
1.7247,226.59
1.7257,224.37
1.727,225.78
1.7286,228.94
1.7299,230.59
1.7308,239.03
1.7322,244.99
1.7335,240.39
1.7343,243
1.7351,245.75
1.7364,248.28
1.7374,247.01
1.7385,246.51
1.7399,231.79
1.7415,227.65
1.7426,222.31
1.7441,215.86
1.7453,216.65
1.7465,226.83
1.7478,225.56
1.7491,227.54
1.75,231.32
1.751,227.78
1.7522,230.01
1.7532,236.98
1.7542,237.21
1.7554,241.89
1.7564,248.29
1.7574,248.03
1.7586,246.27
1.7598,248.67
1.7608,243.01
1.762,244.01
1.7628,244.63
1.7636,244.76
1.7642,243.01
1.7648,243.51
1.7654,245.89
1.7661,242.02
1.7667,241.15
1.7675,242.76
1.7683,249.18
1.7693,247.16
1.7702,249.82
1.771,243.14
1.772,240.79
1.7732,236.86
1.774,234.2
1.7752,235.77
1.7765,235.66
1.7775,238.21
1.7783,239.68
1.7791,237.72
1.7797,235.77
1.7804,235.42
1.781,230.15
1.7818,224.88
1.7828,228.15
1.7836,226.04
1.7842,227.68
1.7854,225.34
1.7863,228.62
1.7871,220.06
1.7879,216.34
1.7893,214.11
1.7901,213.56
1.791,217.12
1.7921,227.33
1.7933,227.21
1.7941,232.06
1.7949,232.78
1.7955,225.46
1.7963,222.81
1.7971,225.46
1.7977,222.47
1.7985,225.46
1.7995,229.57
1.8002,232.54
1.8008,229.8
1.8018,233.86
1.8027,237.61
1.8035,233.86
1.8043,230.28
1.8053,232.66
1.806,232.9
1.8067,232.18
1.8077,232.54
1.8086,236.04
1.8096,240.93
1.8107,250.47
1.8117,247.19
1.8125,251.25
1.8134,249.89
1.8142,249.12
1.815,232.63
1.816,234.27
1.8172,234.1
1.8182,234.47
1.8191,228.51
1.8199,245.86
1.8209,246.04
1.8217,249.9
1.8227,247.97
1.8238,252.42
1.825,247.77
